Temperature (C),"	Year", Month, Country
25.338318,1917,8,GHA
25.051403,1917,9,GHA
26.030842,1917,10,GHA
25.706543,1917,11,GHA
26.154205,1917,12,GHA
26.317759,1918,1,GHA
27.281307,1918,2,GHA
27.932713,1918,3,GHA
28.530842,1918,4,GHA
27.473831,1918,5,GHA
26.58598,1918,6,GHA
25.55888,1918,7,GHA
24.454205,1918,8,GHA
24.960749,1918,9,GHA
26.425236,1918,10,GHA
26.68785,1918,11,GHA
26.44299,1918,12,GHA
26.942057,1919,1,GHA
29.027103,1919,2,GHA
29.456076,1919,3,GHA
29.027103,1919,4,GHA
28.030842,1919,5,GHA
26.58598,1919,6,GHA
25.54112,1919,7,GHA
25.294392,1919,8,GHA
25.725235,1919,9,GHA
26.81215,1919,10,GHA
27.298132,1919,11,GHA
26.54486,1919,12,GHA
26.949533,1920,1,GHA
29.027103,1920,2,GHA
29.456076,1920,3,GHA
29.075703,1920,4,GHA
28.123363,1920,5,GHA
26.604671,1920,6,GHA
25.584112,1920,7,GHA
25.294392,1920,8,GHA
25.76916,1920,9,GHA
26.81215,1920,10,GHA
27.236446,1920,11,GHA
26.518692,1920,12,GHA
26.885046,1921,1,GHA
29.001867,1921,2,GHA
29.48972,1921,3,GHA
29.057943,1921,4,GHA
28.017757,1921,5,GHA
26.51215,1921,6,GHA
25.602804,1921,7,GHA
25.338318,1921,8,GHA
25.787851,1921,9,GHA
26.887852,1921,10,GHA
27.236446,1921,11,GHA
26.51028,1921,12,GHA
26.968225,1922,1,GHA
29.027103,1922,2,GHA
29.531775,1922,3,GHA
29.057943,1922,4,GHA
28.123363,1922,5,GHA
26.638317,1922,6,GHA
25.602804,1922,7,GHA
24.52243,1922,8,GHA
24.790653,1922,9,GHA
26.190655,1922,10,GHA
26.714954,1922,11,GHA
26.026169,1922,12,GHA
27.100933,1923,1,GHA
28.121496,1923,2,GHA
28.644861,1923,3,GHA
27.556076,1923,4,GHA
27.323364,1923,5,GHA
26.414953,1923,6,GHA
25.654205,1923,7,GHA
24.740187,1923,8,GHA
25.595327,1923,9,GHA
26.53458,1923,10,GHA
26.752338,1923,11,GHA
26.890656,1923,12,GHA
26.331776,1924,1,GHA
29.68598,1924,2,GHA
29.8514,1924,3,GHA
28.22617,1924,4,GHA
27.438318,1924,5,GHA
26.256077,1924,6,GHA
25.116823,1924,7,GHA
25.10841,1924,8,GHA
25.899067,1924,9,GHA
26.474766,1924,10,GHA
26.985046,1924,11,GHA
26.318691,1924,12,GHA
24.973831,1925,1,GHA
28.079441,1925,2,GHA
29.207478,1925,3,GHA
29.294394,1925,4,GHA
27.750467,1925,5,GHA
25.508411,1925,6,GHA
25.235514,1925,7,GHA
24.811214,1925,8,GHA
25.425234,1925,9,GHA
25.984112,1925,10,GHA
27.249533,1925,11,GHA
25.757944,1925,12,GHA
26.566355,1926,1,GHA
29.872898,1926,2,GHA
29.935513,1926,3,GHA
29.371027,1926,4,GHA
28.019627,1926,5,GHA
26.180374,1926,6,GHA
24.738317,1926,7,GHA
25.981308,1926,8,GHA
26.627102,1926,9,GHA
27.660748,1926,10,GHA
27.233646,1926,11,GHA
27.013083,1926,12,GHA
26.026169,1927,1,GHA
29.018692,1927,2,GHA
28.255138,1927,3,GHA
28.909344,1927,4,GHA
27.532711,1927,5,GHA
25.967289,1927,6,GHA
25.307476,1927,7,GHA
24.493458,1927,8,GHA
25.868225,1927,9,GHA
26.176636,1927,10,GHA
27.001867,1927,11,GHA
25.961681,1927,12,GHA
26.282242,1928,1,GHA
27.870092,1928,2,GHA
28.178503,1928,3,GHA
27.270092,1928,4,GHA
27.005606,1928,5,GHA
26.58785,1928,6,GHA
25.580374,1928,7,GHA
24.207478,1928,8,GHA
25.29159,1928,9,GHA
25.832712,1928,10,GHA
26.71402,1928,11,GHA
26.021496,1928,12,GHA
26.51215,1929,1,GHA
27.627102,1929,2,GHA
28.028036,1929,3,GHA
28.22056,1929,4,GHA
27.639252,1929,5,GHA
26.235514,1929,6,GHA
26.031775,1929,7,GHA
25.02243,1929,8,GHA
26.17944,1929,9,GHA
26.03458,1929,10,GHA
26.2486,1929,11,GHA
25.246729,1929,12,GHA
26.563553,1930,1,GHA
29.271963,1930,2,GHA
29.645794,1930,3,GHA
28.850468,1930,4,GHA
27.618692,1930,5,GHA
26.474766,1930,6,GHA
25.585981,1930,7,GHA
25.279438,1930,8,GHA
26.129908,1930,9,GHA
25.996262,1930,10,GHA
27.984112,1930,11,GHA
27.52243,1930,12,GHA
27.468225,1931,1,GHA
29.015888,1931,2,GHA
29.628036,1931,3,GHA
29.249533,1931,4,GHA
28.224298,1931,5,GHA
26.853271,1931,6,GHA
26.302805,1931,7,GHA
25.924297,1931,8,GHA
25.46355,1931,9,GHA
26.971964,1931,10,GHA
27.743923,1931,11,GHA
27.952337,1931,12,GHA
27.34486,1932,1,GHA
29.501867,1932,2,GHA
30.02243,1932,3,GHA
29.968225,1932,4,GHA
28.574764,1932,5,GHA
26.232712,1932,6,GHA
25.325233,1932,7,GHA
26.03458,1932,8,GHA
25.914953,1932,9,GHA
27.639252,1932,10,GHA
28.757944,1932,11,GHA
27.833645,1932,12,GHA
28.62243,1933,1,GHA
29.883179,1933,2,GHA
30.078503,1933,3,GHA
29.448599,1933,4,GHA
27.443924,1933,5,GHA
26.62617,1933,6,GHA
25.85701,1933,7,GHA
25.306541,1933,8,GHA
26.287851,1933,9,GHA
26.511215,1933,10,GHA
28.114954,1933,11,GHA
27.098133,1933,12,GHA
26.806543,1934,1,GHA
28.847662,1934,2,GHA
29.257944,1934,3,GHA
29.047663,1934,4,GHA
28.255138,1934,5,GHA
26.437384,1934,6,GHA
25.72617,1934,7,GHA
25.774765,1934,8,GHA
26.383179,1934,9,GHA
27.211216,1934,10,GHA
28.473831,1934,11,GHA
27.161682,1934,12,GHA
27.196262,1935,1,GHA
29.228973,1935,2,GHA
30.771027,1935,3,GHA
29.98318,1935,4,GHA
27.668224,1935,5,GHA
25.735514,1935,6,GHA
25.147663,1935,7,GHA
24.784113,1935,8,GHA
25.70841,1935,9,GHA
26.100933,1935,10,GHA
26.727102,1935,11,GHA
26.76542,1935,12,GHA
26.546728,1936,1,GHA
29.659815,1936,2,GHA
30.349533,1936,3,GHA
28.375702,1936,4,GHA
27.195328,1936,5,GHA
26.119625,1936,6,GHA
25.270092,1936,7,GHA
24.7757,1936,8,GHA
25.325233,1936,9,GHA
26.830841,1936,10,GHA
27.640186,1936,11,GHA
26.2,1936,12,GHA
27.370092,1937,1,GHA
29.384113,1937,2,GHA
30.528973,1937,3,GHA
30.413082,1937,4,GHA
29.196262,1937,5,GHA
27.375702,1937,6,GHA
